lid,X3857,Y3857,kind,trigger,forest_type,slope,chm
2020_4,13478490.03402676,2767172.073964694,case,降雨,闊葉樹林型,37.866,8
2020_5,13484927.792542296,2767350.490056172,case,降雨,針闊葉樹混淆,43.418,25
2020_6,13459364.551016849,2715676.7124842256,case,降雨,闊葉樹林型,25.549,2
2020_7,13444544.409693304,2702588.162008529,case,降雨,__NONFOREST__,34.526,0
2020_8,13430878.732584842,2700761.796216676,case,降雨,竹闊混淆林,55.34,6
2020_9,13456721.659959937,2699142.0051978948,case,降雨,竹闊混淆林,25.054,0
2020_10,13434056.513803244,2682387.6940593696,case,降雨,闊葉樹林型,61.511,0
2020_11,13462599.472059464,2677289.2369578187,case,降雨,闊葉樹林型,45.373,21
2020_12,13447065.2192513,2676385.2277275072,case,降雨,闊葉樹林型,52.811,26
2020_13,13451867.024311466,2656401.2966941767,case,降雨,__NONFOREST__,41.193,0
2020_14,13457441.082617717,2654446.0954019604,case,降雨,闊葉樹林型,50.7,22
2020_15,13437476.104458043,2655203.640419742,case,降雨,__NONFOREST__,45.562,9
2020_16,13448258.574103944,2662313.4925253224,case,降雨,針闊葉樹混淆,43.992,18
2020_17,13450778.095205406,2655599.6457104376,case,降雨,__NONFOREST__,40.73,0
2020_18,13424981.6101723,2664357.2137459056,case,降雨,竹闊混淆林,21.539,0
2020_19,13435975.305944402,2686100.8414726285,case,降雨,__NONFOREST__,1.432,3
2020_20,13469426.14373942,2788184.95943737,case,降雨,闊葉樹林型,45.999,0
2020_21,13485612.57937438,2746784.1553953625,case,降雨,闊葉樹林型,44.683,0
2020_22,13485488.844876053,2746766.551906457,case,降雨,針葉樹林型,35.652,0
2021_0,13434092.878863525,2704711.388834413,case,降雨,闊葉樹林型,47.362,5
2021_1,13433532.48626449,2703798.797595717,case,降雨,闊葉樹林型,39.329,2
2021_2,13438015.20528838,2713072.019054905,case,降雨,竹闊混淆林,42.921,7
2021_3,13458259.291338304,2670336.837221031,case,降雨,闊葉樹林型,53.387,15
2021_4,13431035.643923389,2706660.0587301077,case,降雨,竹闊混淆林,55.658,24
