lid,event,ft,slope,x,y,total,max24,max72,map_mm,annmax_mm
2023_675,卡努颱風,闊葉樹林型,42.8624120924563,264651.24,2660779.59,151.20849609375,104.16500091552734,150.4449920654297,2553.768310546875,193.8992462158203
2023_681,卡努颱風,闊葉樹林型,42.59042663590696,263694.49,2658647.31,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_683,卡努颱風,闊葉樹林型,41.04621124674467,263569.88,2658774.61,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_685,卡努颱風,闊葉樹林型,42.09672607229439,262835.61,2659470.05,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_688,卡努颱風,闊葉樹林型,39.57420005713789,261664.8,2658430.56,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_689,卡努颱風,闊葉樹林型,45.142527402683065,261097.81,2657985.18,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_690,卡努颱風,闊葉樹林型,41.56364135798625,261574.12,2657638.38,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_691,卡努颱風,闊葉樹林型,32.331742392927794,261659.57,2657741.77,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_692,卡努颱風,闊葉樹林型,30.985684296843363,261718.95,2657765.47,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_693,卡努颱風,闊葉樹林型,34.21858270764896,262761.92,2657890.43,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_695,卡努颱風,闊葉樹林型,23.0611356160509,263151.16,2658203.14,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_698,卡努颱風,闊葉樹林型,39.72788642801746,268984.51,2663392.04,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_699,卡努颱風,闊葉樹林型,27.484186071108013,268971.61,2663350.81,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_706,卡努颱風,闊葉樹林型,30.17736603061792,269722.9,2661046.07,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_707,卡努颱風,闊葉樹林型,34.468683663334545,270354.2,2661140.58,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_708,卡努颱風,闊葉樹林型,51.9511174652928,270062.42,2660420.89,151.20849609375,104.16500091552734,150.4449920654297,2940.666748046875,165.9717559814453
2023_711,卡努颱風,闊葉樹林型,18.445687755403306,268369.21,2662803.93,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_712,卡努颱風,闊葉樹林型,44.60978861211985,268503.48,2662487.77,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_713,卡努颱風,闊葉樹林型,37.247373202381205,268476.87,2662400.96,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_714,卡努颱風,闊葉樹林型,32.985092758994966,268022.12,2662597.47,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_715,卡努颱風,闊葉樹林型,24.52281262777141,267905.6,2662784.12,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_716,卡努颱風,闊葉樹林型,29.034220452471416,266326.0,2662799.97,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
